DATE,PPI
2012M01,87.09
2012M02,109.98
2012M03,110.25
2012M04,101.49
2012M05,104.41
2012M06,102.01
2012M07,103.18
2012M08,104.08
2012M09,104.58
2012M10,105.8
2012M11,104.8
2012M12,104.97
2013M01,96.82
2013M02,78.69
2013M03,131.94
2013M04,101.58
2013M05,104.57
2013M06,101.89
2013M07,103.4
2013M08,102.1
2013M09,100.46
2013M10,106.72
2013M11,102.56
2013M12,104.35
2014M01,93.79
2014M02,89.69
2014M03,116.9
2014M04,101.21
2014M05,102.03
2014M06,100.49
2014M07,100.18
2014M08,101.86
2014M09,99.62
2014M10,104.59
2014M11,105.31
2014M12,104.64
2015M01,97.23
2015M02,80.82
2015M03,125.84
2015M04,99.59
2015M05,102.13
2015M06,101.5
2015M07,101.11
2015M08,98.68
2015M09,101.84
2015M10,103.35
2015M11,101.53
2015M12,103.52
2016M01,97.36
2016M02,77.72
2016M03,123.83
2016M04,98.33
2016M05,102.39
2016M06,101.09
2016M07,102.12
2016M08,100.85
2016M09,103.36
2016M10,105.95
2016M11,101.99
2016M12,104.67
2017M01,93.76
2017M02,97.89
2017M03,112.53
2017M04,99.17
2017M05,101.69
2017M06,100.36
2017M07,101.42
2017M08,103.85
2017M09,100.09
2017M10,108.04
2017M11,102.76
2017M12,101.96
2018M01,96.59
2018M02,82.92
2018M03,122.77
2018M04,101.53
2018M05,102.22
2018M06,99.83
2018M07,102.51
2018M08,107.29
2018M09,100.82
2018M10,105.34
2018M11,102.86
2018M12,101.36
2019M01,96.84
2019M02,83.24
2019M03,127.57
2019M04,100.6
2019M05,104.64
2019M06,101.33
2019M07,105.94
2019M08,105.44
2019M09,99.87
2019M10,102.74
2019M11,98.42
2019M12,100.45
2020M01,88.24
2020M02,108.4
2020M03,110.79
2020M04,86.67
2020M05,111.23
2020M06,110.3
2020M07,103.61
2020M08,103.45
2020M09,102.27
2020M10,103.57
2020M11,100.54
2020M12,101.64
2021M01,96.75
2021M02,78.87
2021M03,122.08
2021M04,101.05
2021M05,101.63
2021M06,100.53
2021M07,101.82
2021M08,95.76
2021M09,105.03
2021M10,106.87
2021M11,105.46
2021M12,103.53
2022M01,96.88
2022M02,87.59
2022M03,122.92
2022M04,102
2022M05,103.96
2022M06,100.95
2022M07,101.6
2022M08,102.92
2022M09,101.82
2022M10,103.04
2022M11,100.29
2022M12,98.99
2023M01,85.39
2023M02,105.11
2023M03,109.62
2023M04,103.55
2023M05,102.21
2023M06,102
2023M07,103.92
2023M08,102.87
2023M09,100.14
2023M10,105.51
2023M11,103
2023M12,100.12
2024M01,95.64
2024M02,81.96
2024M03,119.98
2024M04,100.75
2024M05,103.85
2024M06,100.67
2024M07,100.69
2024M08,102
2024M09,99.81
2024M10,103.99
2024M11,102.29
2024M12,100.79
2025M01,90.84
2025M02,97.77
2025M03,112.02
2025M04,101.42
2025M05,104.26
2025M06,104.13
2025M07,100.52
2025M08,102.22
2025M09,100.12
2025M10,110.44
2025M11,102.34
2025M12,102.24
2026M01,99.76
2026M02,81.55
