"Variables ->","GDP_U","CPI_U","S","RS","GDP_RW","CPI_RW","RS_RW","D4L_CPI_TAR","GDP_RW_BAR","DUMMY","GDP","CPI","L_CPI","L_CPI_RW","L_CPI_U","L_DUMMY","L_GDP","L_GDP_RW","L_GDP_RW_BAR","L_GDP_U","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_CPI_U","DLA_DUMMY","DLA_GDP","DLA_GDP_RW","DLA_GDP_RW_BAR","DLA_GDP_U","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_CPI_U","D4L_DUMMY","D4L_GDP","D4L_GDP_RW","D4L_GDP_RW_BAR","D4L_GDP_U","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_GAP"
"Comments ->"
"Class[Size] ->","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]","Series[64-by-1]"
"2010Q1",6.72271000e+05,9.74400000e+01,1.89080000e+04,1.07711364e+01,1.65827100e+04,2.17374000e+02,1.10000000e-01,8.00000000e+00,1.73002922e+04,0.00000000e+00,6.78543757e+05,9.69417498e+01,4.57411028e+02,5.38161937e+02,4.57923680e+02,-Inf,1.34277042e+03,9.71611587e+02,9.75847867e+02,1.34184168e+03,9.84734039e+02,1.06548495e+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06367506e+03,1.80988399e+00,NaN,NaN,NaN,1.89630831e-01,1.34068502e+03,NaN,-4.14780365e+00
"2010Q2",6.67254000e+05,9.89500000e+01,1.89620000e+04,9.95245902e+00,1.67431620e+04,2.17297000e+02,1.50000000e-01,8.00000000e+00,1.73621722e+04,0.00000000e+00,6.81579087e+05,9.87431433e+01,4.59252197e+02,5.38126508e+02,4.59461467e+02,-Inf,1.34321676e+03,9.72574522e+02,9.76204911e+02,1.34109261e+03,9.85019226e+02,1.06389354e+03,7.36467417e+00,-1.41716380e-01,6.15114723e+00,NaN,1.78533021e+00,3.85173993e+00,1.42817533e+00,-2.99630001e+00,1.14074543e+00,-6.36564513e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06253436e+03,1.35917322e+00,NaN,NaN,-4.56280202e+00,-2.64096847e-01,1.34199115e+03,5.22452788e+00,-3.56528074e+00
"2010Q3",6.96133000e+05,9.98300000e+01,1.94790000e+04,9.64516129e+00,1.68722660e+04,2.17934000e+02,1.60000000e-01,8.00000000e+00,1.74265059e+04,0.00000000e+00,6.89482011e+05,1.00275476e+02,4.60792115e+02,5.38419226e+02,4.60346874e+02,-Inf,1.34436959e+03,9.73342649e+02,9.76574765e+02,1.34532960e+03,9.87709224e+02,1.06533634e+03,6.15967493e+00,1.17087332e+00,3.54162692e+00,NaN,4.61132541e+00,3.07250908e+00,1.47941841e+00,1.69479804e+01,1.07599943e+01,5.77119266e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06139479e+03,3.94154071e+00,NaN,NaN,-4.55827731e+00,-5.99962588e-01,1.34328708e+03,5.18372154e+00,-3.18044176e+00
"2010Q4",7.04185000e+05,1.03780000e+02,1.94900000e+04,1.20926154e+01,1.69608640e+04,2.19699000e+02,1.40000000e-01,8.00000000e+00,1.74925372e+04,0.00000000e+00,6.89701241e+05,1.04060275e+02,4.64497030e+02,5.39225843e+02,4.64227327e+02,-Inf,1.34440138e+03,9.73866385e+02,9.76952962e+02,1.34647964e+03,9.87765679e+02,1.06249449e+03,1.48196589e+01,3.22646522e+00,1.55218138e+01,NaN,1.27165304e-01,2.09494546e+00,1.51278828e+00,4.60014868e+00,2.25820530e-01,-1.13673732e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06025834e+03,2.23615490e+00,NaN,NaN,-4.54582996e+00,-5.41862843e-01,1.34457709e+03,5.16002224e+00,-3.03942867e+00
"2011Q1",7.12371000e+05,1.09910000e+02,2.08560000e+04,1.33432759e+01,1.69206320e+04,2.22044000e+02,1.30000000e-01,8.00000000e+00,1.75604955e+04,0.00000000e+00,7.19477554e+05,1.09340441e+02,4.69446633e+02,5.40287556e+02,4.69966185e+02,-Inf,1.34862806e+03,9.73628898e+02,9.77340708e+02,1.34763541e+03,9.94539696e+02,1.06538062e+03,1.97984105e+01,4.24685309e+00,2.29554301e+01,NaN,1.69067233e+01,-9.49946694e-01,1.55098466e+00,4.62309496e+00,2.70960652e+01,1.15445078e+01,1.20356046e+01,2.12561881e+00,1.20425045e+01,NaN,5.85763605e+00,2.01731194e+00,1.49284167e+00,5.79373101e+00,9.80565637e+00,-1.04329453e-01,1.30767123e+00,-1.99561881e+00,-2.15376495e+00,3.46143618e+00,1.05912944e+03,6.25118339e+00,-2.82448767e+00,8.28868854e-01,-4.51560611e+00,-9.00604782e-02,1.34586582e+03,5.15493066e+00,-3.64376677e+00
"2011Q2",7.08906000e+05,1.18120000e+02,2.05750000e+04,1.35298361e+01,1.70351140e+04,2.24568000e+02,5.00000000e-02,8.00000000e+00,1.76304571e+04,0.00000000e+00,7.24137417e+05,1.17938402e+02,4.77016247e+02,5.41417856e+02,4.77170106e+02,-Inf,1.34927365e+03,9.74303202e+02,9.77738320e+02,1.34714782e+03,9.93183203e+02,1.05758481e+03,3.02784564e+01,4.52119848e+00,2.88156831e+01,NaN,2.58233961e+00,2.69721499e+00,1.59044679e+00,-1.95036259e+00,-5.42597203e+00,-3.11832300e+01,1.77640502e+01,3.29134753e+00,1.77086385e+01,NaN,6.05688840e+00,1.72868071e+00,1.53340954e+00,6.05521536e+00,8.16397701e+00,-6.30872567e+00,-4.23421413e+00,-3.24134753e+00,-1.87644400e+00,-2.35777013e+00,1.05801393e+03,-4.29120260e-01,-2.68872950e+00,-5.52618028e-01,-4.46201538e+00,4.66322716e-01,1.34715819e+03,5.16945325e+00,-3.37678755e+00
"2011Q3",7.40465000e+05,1.22320000e+02,2.08250000e+04,1.38560317e+01,1.70313130e+04,2.26033000e+02,2.00000000e-02,8.00000000e+00,1.77025719e+04,0.00000000e+00,7.33128668e+05,1.22828297e+02,4.81078742e+02,5.42068101e+02,4.80664056e+02,-Inf,1.35050765e+03,9.74280887e+02,9.78146521e+02,1.35150336e+03,9.94390947e+02,1.05538031e+03,1.62499802e+01,2.60097987e+00,1.39758019e+01,NaN,4.93601795e+00,-8.92609023e-02,1.63280381e+00,1.74221722e+01,4.83097660e+00,-8.81802369e+00,2.02866265e+01,3.64887417e+00,2.03171822e+01,NaN,6.13806153e+00,9.38238212e-01,1.57175589e+00,6.17376332e+00,6.68172259e+00,-9.95602975e+00,-6.43059476e+00,-3.62887417e+00,-1.59695965e+00,-4.83363510e+00,1.05692157e+03,-1.54126873e+00,-2.55245329e+00,-1.07642088e+00,-4.36942981e+00,7.77542411e-01,1.34845920e+03,5.20405468e+00,-3.79187197e+00
"2011Q4",7.53813000e+05,1.24350000e+02,2.10120000e+04,1.33801538e+01,1.72225830e+04,2.27047000e+02,1.00000000e-02,8.00000000e+00,1.77762884e+04,0.00000000e+00,7.37729477e+05,1.24622684e+02,4.82529065e+02,5.42515704e+02,4.82310017e+02,-Inf,1.35113325e+03,9.75397677e+02,9.78562074e+02,1.35328996e+03,9.95284898e+02,1.05527154e+03,5.80129084e+00,1.79041528e+00,6.58384345e+00,NaN,2.50238892e+00,4.46715872e+00,1.66220979e+00,7.14638376e+00,3.57580602e+00,-4.35069549e-01,1.80320345e+01,3.28986168e+00,1.80826896e+01,NaN,6.73186744e+00,1.53129153e+00,1.60911126e+00,6.81032209e+00,7.51921896e+00,-7.22295384e+00,-4.65188063e+00,-3.27986168e+00,-1.31462212e+00,-3.33725851e+00,1.05586184e+03,-5.90305569e-01,-2.41548638e+00,-8.64375298e-01,-4.23892220e+00,7.09857572e-01,1.34977386e+03,5.25862590e+00,-3.11485378e+00
